feature,mean_importance
feature_404,-0.0001661530014266832
feature_80,-0.00016050867291755866
feature_76,-0.00015456010048587877
feature_54,-0.00015410079048107096
feature_66,-0.0001434806287045509
feature_160,-0.00012818308282761537
feature_281,-0.00011997197715546415
feature_162,-0.00011984421164215053
feature_17,-0.00011148536345494398
feature_345,-0.00011043423703100963
feature_28,-0.00010931236663533906
feature_2,-0.00010870544910132062
feature_86,-0.00010638085296530431
feature_18,-0.00010200430503294333
feature_47,-9.227715827226923e-05
feature_235,-8.792083508238902e-05
feature_35,-7.851444860578205e-05
feature_279,-7.82147864948346e-05
feature_63,-7.54176397257611e-05
feature_355,-7.104111049901495e-05
feature_48,-6.835684784980422e-05
feature_280,-6.71340851690183e-05
feature_3,-6.670899490650584e-05
feature_29,-6.602189639456357e-05
feature_112,-6.140232217196617e-05
feature_224,-5.648125424505546e-05
feature_226,-4.88968603195028e-05
feature_330,-4.122578961823775e-05
feature_353,-4.016713898692403e-05
feature_9,-3.842935071450837e-05
feature_422,-3.789020553819355e-05
feature_255,-3.673524202361111e-05
feature_326,-3.3959835210506385e-05
feature_298,-3.291883028688769e-05
feature_405,-3.1099964988345885e-05
feature_127,-3.083967315637981e-05
feature_293,-2.7888865623770798e-05
feature_104,-2.7842676556733002e-05
feature_204,-2.425275450663733e-05
feature_323,-2.2571295199280694e-05
feature_15,-1.6165726814354465e-05
feature_87,-1.3541836008879038e-05
feature_121,-1.0064847876067872e-05
feature_217,-7.479052698167177e-06
feature_96,-4.604194454771448e-06
feature_349,-4.573039591770911e-06
feature_384,-3.736556549438497e-06
feature_85,-2.310538183780686e-07
feature_304,-4.4408920985006264e-17
feature_359,-3.3306690738754695e-17
feature_143,-3.3306690738754695e-17
feature_436,-2.2204460492503132e-17
feature_437,-2.2204460492503132e-17
feature_425,-2.2204460492503132e-17
feature_148,-2.2204460492503132e-17
feature_166,-2.2204460492503132e-17
feature_433,-2.2204460492503132e-17
feature_135,-2.2204460492503132e-17
feature_341,-2.2204460492503132e-17
feature_329,-2.2204460492503132e-17
feature_398,-2.2204460492503132e-17
feature_303,-2.2204460492503132e-17
feature_295,-2.2204460492503132e-17
feature_150,-2.2204460492503132e-17
feature_418,-2.2204460492503132e-17
feature_434,-1.1102230246251566e-17
feature_385,-1.1102230246251566e-17
feature_428,-1.1102230246251566e-17
feature_441,-1.1102230246251566e-17
feature_5,-1.1102230246251566e-17
feature_380,-1.1102230246251566e-17
feature_379,-1.1102230246251566e-17
feature_368,-1.1102230246251566e-17
feature_367,-1.1102230246251566e-17
feature_351,-1.1102230246251566e-17
feature_350,-1.1102230246251566e-17
feature_324,-1.1102230246251566e-17
feature_310,-1.1102230246251566e-17
feature_305,-1.1102230246251566e-17
feature_290,-1.1102230246251566e-17
feature_8,-1.1102230246251566e-17
feature_358,-1.1102230246251566e-17
feature_137,-1.1102230246251566e-17
feature_53,-1.1102230246251566e-17
feature_101,-1.1102230246251566e-17
feature_102,-1.1102230246251566e-17
feature_103,-1.1102230246251566e-17
feature_106,-1.1102230246251566e-17
feature_111,-1.1102230246251566e-17
feature_114,-1.1102230246251566e-17
feature_119,-1.1102230246251566e-17
feature_77,-1.1102230246251566e-17
feature_129,-1.1102230246251566e-17
feature_131,-1.1102230246251566e-17
feature_132,-1.1102230246251566e-17
